search_keyword,page_number,job_title,company_name,location,posted_time,years_of_experience,technologies
Devops,1,Software Development Manager - Remote (Full Time / Part Time),Guestna -,"Riyadh,",,,"·,Computer Science,·,Software Development,·,Development,·,APIs,·,Agile,·,Information Technology (IT),·,Software Engineering,·,Software"
Devops,1,Frontend Team Lead,Confidential -,"Smouha,",9 days,,"·,Agile Scrum,·,Angular,·,Communication skills,·,JavaScript,·,UI/UX design,·,Dockerm Kubernetes"
Devops,1,Senior Developer/Manager (Full-Stack + ML Ops),My Business Care Team -,"Cairo,",11 days,,"·,AWS,·,Information Technology (IT),·,Software,·,Software Development,·,Cloud,·,Lambda,·,EC2,·,DynamoDB"
Devops,1,AI Solutions Architect,Get AI Driven -,"Cairo,",,,"·,AI,·,Architecture,·,Computer Engineering,·,APIs,·,Computer Science,·,Engineering,·,English,·,JavaScript"
Devops,1,AI & Software Trainer,compsoft -,"Giza,",13 days,,"·,Computer Science,·,Information Technology (IT),·,Software,·,Software trainer,·,AI,·,Software Engineering,·,Big Data"
Devops,1,Senior Cloud Solution Architect,EXALT Technologies  -,"Sheraton,",25 days,,"·,Cloud,·,Computer Science,·,Engineering,·,Information Technology (IT),·,Infrastructure,·,Linux"
Devops,1,Server Administrator/DevOps Engineer,Safa Soft -,"Maadi,",2 months,,"·,Computer Engineering,·,Computer Science,·,Docker,·,Engineering,·,Information Technology (IT),·,Linux,·,Kubernetes"
full stack,1,"Full-Stack AI Tool Developer (React, Next.js, PostgreSQL, AWS Lambda)",Confidential -,"New Cairo,",,,"·,APIs,·,API,·,AWS,·,Computer Science,·,Engineering,·,HTML,·,Information Technology (IT)"
full stack,1,Full Stack Developer,CodeCooks -,"New Cairo,",,,"·,Information Technology (IT),·,Computer Science,·,Software Development"
full stack,1,Full Stack Developer,CM Smart Contracting and consultation -,"Mokattam,",9 days,,"·,Computer Science,·,Information Technology (IT),·,MySQL,·,Node.js,·,React.js,·,Software Development,·,Software Engineering,·,Engineering"
full stack,1,.NET Full Stack Developer,Biobusiness -,"Hadayek Alahram,",12 days,,"·,.Net,·,Angular"
full stack,1,Junior Full Stack Developer,Yodawy Med -,"Mohandessin,",10 days,,"·,Computer Science,·,Engineering,·,Software Development,·,Software Engineering,·,JavaScript"
full stack,1,Full-stack Software Engineer,Nacita -,"Cairo,",10 days,,"·,software engineeer,·,angular,·,Agile,·,Java,·,nodejs,·,Kubernetes,·,Google Cloud"
